,date,tavg,tmin,tmax,prcp,wdir,wspd,pres
0,2021-07-01,89.4,81.0,99.0,0.0,194.8,6.8,1006.7
1,2021-07-02,81.3,70.0,93.9,0.0,199.0,5.2,1009.3
2,2021-07-03,80.4,64.0,95.0,0.0,187.3,5.1,1009.8
3,2021-07-04,80.2,66.0,93.9,0.0,197.5,7.5,1009.5
4,2021-07-05,79.5,64.9,93.9,0.0,43.2,5.8,1012.3
5,2021-07-06,80.8,64.0,97.0,0.0,180.0,3.5,1012.3
6,2021-07-07,78.3,64.0,93.0,0.0,246.9,6.3,1007.9
7,2021-07-08,76.1,60.1,90.0,0.0,204.3,5.0,1010.8
8,2021-07-09,76.5,62.1,91.9,0.0,203.7,3.5,1015.6
9,2021-07-10,78.6,57.9,96.1,0.0,191.4,3.7,1015.2
10,2021-07-11,79.5,62.1,96.1,0.0,210.0,5.3,1013.2
11,2021-07-12,79.9,60.1,98.1,0.0,202.1,3.0,1012.1
12,2021-07-13,80.2,63.0,98.1,0.0,168.3,2.1,1011.0
13,2021-07-14,82.6,66.0,99.0,0.0,192.6,4.5,1009.2
14,2021-07-15,79.2,66.0,91.0,0.0,205.2,7.1,1008.3
15,2021-07-16,76.1,64.9,87.1,0.0,196.5,7.5,1010.6
16,2021-07-17,74.7,61.0,88.0,0.0,202.9,4.2,1014.3
17,2021-07-18,77.0,59.0,93.0,0.0,201.8,1.9,1016.0
18,2021-07-19,76.3,61.0,90.0,0.0,263.1,3.8,1014.4
19,2021-07-20,77.4,64.9,90.0,0.0,199.2,5.2,1013.9
20,2021-07-21,71.1,61.0,82.9,0.0,202.0,6.2,1013.5
21,2021-07-22,67.8,57.0,81.0,0.0,213.4,4.7,1016.7
22,2021-07-23,70.5,53.1,87.1,0.0,202.6,6.0,1019.2
23,2021-07-24,75.0,55.9,91.9,0.0,198.3,2.9,1017.3
24,2021-07-25,79.5,60.1,97.0,0.0,194.1,4.2,1012.6
25,2021-07-26,79.5,62.1,93.9,0.0,194.9,4.6,1010.8
26,2021-07-27,74.1,64.9,84.9,0.0,12.5,3.9,1013.7
27,2021-07-28,78.8,66.9,91.9,0.0,351.5,2.7,1017.5
28,2021-07-29,81.1,62.1,98.1,0.0,205.7,3.0,1015.4
29,2021-07-30,83.5,62.1,102.9,0.0,48.4,3.9,1014.8
30,2021-07-31,86.7,64.0,105.1,0.0,66.7,4.8,1013.2
31,2021-08-01,79.3,73.9,84.0,0.047,226.6,3.2,1018.6
32,2021-08-02,79.0,66.0,93.0,0.0,218.7,2.9,1019.3
33,2021-08-03,81.7,64.9,97.0,0.0,230.2,2.2,1017.9
34,2021-08-04,82.6,66.9,97.0,0.0,177.5,4.0,1012.3
35,2021-08-05,75.0,64.0,84.0,0.0,135.4,5.3,1011.9
36,2021-08-06,75.7,66.0,87.1,0.0,220.7,10.6,1011.2
37,2021-08-07,74.1,64.9,82.9,0.0,214.2,7.3,1009.5
38,2021-08-08,64.8,54.0,75.0,0.134,246.7,10.8,1012.7
39,2021-08-09,64.0,53.1,81.0,0.0,193.2,2.9,1018.5
40,2021-08-10,72.7,55.9,90.0,0.0,204.8,3.8,1015.5
41,2021-08-11,81.9,62.1,99.0,0.0,228.6,3.4,1013.7
42,2021-08-12,80.2,63.0,96.1,0.0,350.7,2.8,1017.2
43,2021-08-13,74.8,57.9,93.0,0.0,80.3,1.6,1018.4
44,2021-08-14,77.7,59.0,99.0,0.0,190.2,6.2,1017.7
45,2021-08-15,81.5,63.0,100.0,0.0,210.2,7.7,1012.7
46,2021-08-16,80.6,68.0,93.9,0.0,279.5,6.6,1006.0
47,2021-08-17,68.0,60.1,75.9,0.343,226.8,8.7,1006.7
48,2021-08-18,66.0,55.9,77.0,0.0,43.6,3.4,1015.8
49,2021-08-19,67.1,52.0,82.0,0.0,214.0,4.4,1013.9
50,2021-08-20,70.2,63.0,78.1,0.0,155.8,4.5,1010.2
51,2021-08-21,63.3,55.9,73.9,0.13,312.5,4.1,1008.4
52,2021-08-22,65.7,57.0,75.0,0.0,205.4,10.3,1006.7
53,2021-08-23,60.3,48.9,72.0,0.0,232.7,5.0,1012.0
54,2021-08-24,61.5,46.0,78.1,0.0,31.0,2.4,1016.7
55,2021-08-25,64.8,48.9,81.0,0.0,292.3,3.1,1014.3
56,2021-08-26,66.6,53.1,77.0,0.0,193.7,6.2,1014.3
57,2021-08-27,64.8,55.0,75.0,0.114,218.6,3.4,1014.2
58,2021-08-28,63.9,48.0,80.1,0.0,90.9,1.9,1018.1
59,2021-08-29,67.5,48.9,86.0,0.0,61.3,2.4,1012.8
60,2021-08-30,68.2,51.1,82.9,0.0,179.9,7.3,1006.9
61,2021-08-31,60.1,51.1,70.0,0.0,215.5,10.4,1009.7
62,2021-09-01,60.1,46.0,72.0,0.0,285.8,4.3,1014.7
63,2021-09-02,59.9,45.0,75.9,0.0,290.0,1.8,1016.4
64,2021-09-03,63.3,46.0,80.1,0.0,202.6,1.9,1017.3
65,2021-09-04,67.8,51.1,84.0,0.0,176.2,2.0,1014.9
66,2021-09-05,70.7,55.0,87.1,0.0,192.7,5.4,1013.2
67,2021-09-06,70.2,61.0,82.9,0.0,214.6,4.5,1015.5
68,2021-09-07,68.5,51.1,90.0,0.0,51.0,2.4,1017.8
69,2021-09-08,70.3,55.9,89.1,0.0,345.2,4.3,1013.3
70,2021-09-09,71.1,55.0,88.0,0.0,178.2,1.8,1011.6
71,2021-09-10,65.7,60.1,75.9,0.264,1.1,3.0,1011.9
72,2021-09-11,62.1,57.0,72.0,0.213,220.9,7.2,1019.4
73,2021-09-12,62.8,53.1,75.9,0.0,167.0,2.2,1016.6
74,2021-09-13,63.0,54.0,75.9,0.0,194.7,5.1,1017.2
75,2021-09-14,63.9,48.9,78.1,0.0,330.3,4.8,1016.8
76,2021-09-15,65.8,57.9,75.0,0.0,228.2,8.6,1010.0
77,2021-09-16,56.1,42.1,66.9,0.0,277.9,3.8,1017.2
78,2021-09-17,55.8,44.1,71.1,0.055,136.0,3.5,1011.4
79,2021-09-18,55.8,51.1,62.1,0.26,225.1,5.8,1007.7
80,2021-09-19,54.0,48.9,64.9,0.142,243.9,7.1,1013.4
81,2021-09-20,53.8,46.9,64.9,0.0,196.5,4.0,1025.9
82,2021-09-21,56.8,42.1,73.9,0.0,112.2,2.6,1026.3
83,2021-09-22,58.5,46.9,72.0,0.0,348.1,1.2,1018.3
84,2021-09-23,59.9,52.0,73.0,0.0,190.1,3.4,1022.8
85,2021-09-24,60.6,45.0,78.1,0.0,57.5,1.9,1020.5
86,2021-09-25,65.1,53.1,82.0,0.0,149.2,2.9,1011.1
87,2021-09-26,65.3,53.1,80.1,0.0,175.3,5.2,1008.0
88,2021-09-27,62.8,51.1,72.0,0.335,223.1,8.1,1007.9
89,2021-09-28,53.6,50.0,61.0,0.169,221.3,10.4,1014.1
90,2021-09-29,52.2,45.0,61.0,0.0,178.6,4.8,1021.6
