,date,total_time
0,2021-07-01,31.02
1,2021-07-02,86.83
2,2021-07-03,20.25
3,2021-07-05,125.86
4,2021-07-06,36.73
5,2021-07-07,293.69
6,2021-07-08,129.16
7,2021-07-09,101.31
8,2021-07-10,52.14
9,2021-07-11,175.2
10,2021-07-12,309.17
11,2021-07-13,66.86
12,2021-07-14,45.61
13,2021-07-15,36.11
14,2021-07-16,44.49
15,2021-07-18,7.74
16,2021-07-19,24.11
17,2021-07-20,0.0
18,2021-07-22,2.84
19,2021-07-23,25.06
20,2021-07-24,14.32
21,2021-07-25,99.22
22,2021-07-26,10.96
23,2021-07-27,265.04
24,2021-07-28,278.72
25,2021-07-29,27.77
26,2021-07-30,44.08
27,2021-07-31,131.75
28,2021-08-01,74.05
29,2021-08-02,359.69
30,2021-08-03,0.7
31,2021-08-05,16.66
32,2021-08-07,204.21
33,2021-08-08,2.54
34,2021-08-09,304.09
35,2021-08-10,240.36
36,2021-08-11,85.99
37,2021-08-12,189.99
38,2021-08-13,246.82
39,2021-08-14,145.64
40,2021-08-15,147.08
41,2021-08-16,23.38
42,2021-08-17,16.92
43,2021-08-18,64.47
44,2021-08-19,114.13
45,2021-08-20,169.95
46,2021-08-21,48.51
47,2021-08-22,189.07
48,2021-08-23,58.74
49,2021-08-24,7.85
50,2021-08-27,229.98
51,2021-08-28,60.71
52,2021-08-29,132.33
53,2021-08-30,163.46
54,2021-08-31,77.51
55,2021-09-01,77.94
56,2021-09-02,209.59
57,2021-09-03,103.97
58,2021-09-04,443.47
59,2021-09-05,347.91
60,2021-09-06,136.47
61,2021-09-07,208.1
62,2021-09-08,54.81
63,2021-09-09,607.16
64,2021-09-10,32.87
65,2021-09-11,490.96
66,2021-09-12,119.4
67,2021-09-13,88.62
68,2021-09-15,158.1
69,2021-09-16,85.11
70,2021-09-17,467.13
71,2021-09-18,308.12
72,2021-09-19,11.03
73,2021-09-20,156.66
74,2021-09-21,552.79
75,2021-09-22,58.94
76,2021-09-23,102.27
77,2021-09-24,96.66
78,2021-09-25,277.28
79,2021-09-26,25.87
80,2021-09-27,26.5
81,2021-09-28,49.37
82,2021-09-29,52.77
